,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
0,CROC 1H,24:00,7.49,7.27,0.0,200.0,70.0,"12on/12off, 6.5spm",2021-03-09
1,GALAH 3H,24:00,51.04,48.4,12.08,150.0,80.0,,2021-03-09
2,GOANNA 1H,12:00,-16.3,4.0,46.67,50.0,20.0,BOL 7PM yesterday,2021-03-09
3,GREAT WHITE 1H,24:00,56.66,66.11,25.0,125.0,90.0,,2021-03-09
4,GREAT WHITE 2H,24:00,36.7,65.22,25.0,125.0,90.0,,2021-03-09
5,JAVELINA 1H,24:00,18.98,15.09,6.66,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-03-09
6,MANTA 1H,24:00,34.18,30.95,11.02,200.0,80.0,,2021-03-09
7,REEF 3H,24:00,38.68,32.81,3.75,200.0,70.0,6.5spm,2021-03-09
8,RIDGEBACK 1H,24:00,18.38,12.51,1.67,120.0,80.0,7.1spm,2021-03-09
9,SEA WASP 2H,24:00,11.27,27.31,5.0,120.0,80.0,,2021-03-09
10,STINGRAY 2H,24:00,16.71,18.44,6.67,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-03-09
11,THORNY DEVIL 1H,24:00,44.05,107.43,23.75,180.0,100.0,,2021-03-09
12,THORNY DEVIL 2H,24:00,36.12,108.43,20.42,180.0,100.0,,2021-03-09
13,THORNY DEVIL 3H,24:00,14.01,81.87,10.42,150.0,80.0,,2021-03-09
14,WOMBAT 2H,0:00,0.0,0.83,0.0,140.0,90.0,Parted rods,2021-03-09
